"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.NPV_dredge_check_buff","-344726","-62601","-32361"," 13203","80098","168508","275599","345263","813640","102162","0.20","0","0.80"
"y.NPV_dredge_check_nbuff"," -91468","-15354","  -768"," 27121","64701","115376","168595","209451","541774"," 76908","0.10","0","0.90"
"y.NPV_dredge_ncheck_buff","-282703","-44415","-22615"," 14085","73503","174562","282504","349865","892775","105109","0.18","0","0.82"
"y.NPV_dredge_ncheck_nbuff","-103332","-13727"," -4292"," 17149","42555"," 70649","100504","122133","272653"," 46436","0.13","0","0.87"
"y.NPV_ndredge_check_buff","-315856","-64916","-43681","  1291","67474","159026","266207","334459","796963"," 91669","0.24","0","0.76"
"y.NPV_ndredge_check_nbuff","-147696","-30815","-22416","  1564","41861"," 82381","125575","155139","415732"," 47478","0.24","0","0.76"
"y.NPV_ndredge_ncheck_buff","-276528","-56157","-41187","-18779","46556","168394","270414","335053","816441"," 85083","0.36","0","0.64"
