Description,label,variable,distribution,lower,median,upper
,Profit per ton-rice U/S,scheme2_rice_profit_USD_t,norm,100,,500
,,,,,,
,Vegetable area in ha (buffer s.),buffer_vegetable_area_ha,posnorm,5,,7
,Fruit area in ha (buffer s.),buffer_fruit_area_ha,posnorm,1,,2
,Rainfed crop area in ha (buffer s.),buffer_rainfed_crop_area_ha,posnorm,6,,8
,,,,,,
,Yields per ha-vegetable (buffer s.),buffer_vegetable_yield_t_ha,posnorm,5,,10
,Yields per ha-fruit (buffer s.),buffer_fruit_yield_t_ha,posnorm,10,,30
,Yields per ha-rainfed crops (buffer s.),buffer_rainfed_crop_yield_t_ha,posnorm,1,,3
,,,,,,
,Profit per ton-vegetable (buffer s.),buffer_vegetable_profit_USD_t,posnorm,100,,200
,Profit per ton-fruit (buffer s.),buffer_fruit_profit_USD_t,posnorm,100,,200
,Profit per ton-rainfed crops (buffer s.),buffer_rainfed_crop_profit_USD_t,posnorm,50,,200
,,,,,,
,Rice area's share D/S in rainy season,proportion_irrigation_scheme_rice,tnorm_0_1,0.3,,0.6
,Yields per ha-rice D/S ,irrigation_scheme_rice_yield_t_ha,posnorm,1.5,,2.5
,Profit per ton-rice D/S,irrigation_scheme_rice_profit_USD_t,posnorm,100,,500
,Yields per ha-vegetable D/S ,irrigation_scheme_vegetable_yield_t_ha,posnorm,8,,15
,Profit per ton-vegetable D/S,irrigation_scheme_vegetable_profit_USD_t,posnorm,100,,300
,,,,,,
,Years bef. decline irrigable area D/S (basel.),baseline_time_until_irrig_area_declines,posnorm,1,,4
,Delay in irrigable area decline D/S (dredg.),dredging_delay_of_irrig_area_decline,posnorm,2,,5
,Delay in irrigable area decline D/S (check d.),check_dam_delay_of_irrig_area_decline,posnorm,4,,7
,Delay in irrigable area decline D/S (buffer s.),buffer_strip_delay_of_irrig_area_decline,posnorm,4,,15
,Years bef. irrigable area halved D/S (basel.),baseline_start_losses_to_half_irrig_area_lost,posnorm,8,,15
,Delay in irrigable area halved D/S (dredg.),dredging_delay_of_irrig_area_halved,posnorm,1,,2
,Delay in irrigable area halved D/S (check d.),check_dam_delay_of_irrig_area_halved,posnorm,3,,5
,Delay in irrigable area halved D/S (buffer s.),buffer_strip_delay_of_irrig_area_halved,posnorm,8,,20
,,,,,,
,Risk of pipe blockage (at present),current_risk_of_pipe_blockage,tnorm_0_1,0.2,,0.4
,Years bef. blockage every 2nd year (basel.),baseline_time_until_pipes_blocked_every_second_year,posnorm,3,,5
,Delay in blockage every 2nd year (dredg.),dredging_delay_of_pipes_blocked_every_second_year,posnorm,1,,3
,Delay in blockage every 2nd year (check d.),check_dam_delay_of_pipes_blocked_every_second_year,posnorm,2,,4
,Delay in blockage every 2nd year (buffer s.),buffer_strip_delay_of_pipes_blocked_every_second_year,posnorm,4,,7
,Chance of blocked pipe cleared (at present),current_chance_of_blocked_pipe_cleared,tnorm_0_1,0.7,,0.9
,Years bef. P(blockage cleared)=0.5 (basel.),baseline_time_until_chance_cleared_50percent,posnorm,7,,10
,Delay bef. P(blockage cleared)=0.5 (dredg.),dredging_delay_of_time_until_chance_cleared_50percent,posnorm,1,,2
,Delay bef. P(blockage cleared)=0.5 (check d.),check_dam_delay_of_time_until_chance_cleared_50percent,posnorm,2,,4
,Delay bef. P(blockage cleared)=0.5 (buffer s.),buffer_strip_delay_of_time_until_chance_cleared_50percent,posnorm,4,,6
,,,,,,
,Years bef. decline irrigable area U/S (basel.),baseline_time_until_irrig_area2_declines,posnorm,3,,6
,Delay in irrigable area decline U/S (dredg.),dredging_delay_of_irrig_area2_decline,posnorm,3,,5
,Delay in irrigable area decline U/S (check d.),check_dam_delay_of_irrig_area2_decline,posnorm,2,,6
,Years bef. irrigable area halved U/S (basel.),baseline_start_losses_to_half_irrig_area2_lost,posnorm,10,,17
,Delay in irrigable area halved U/S (dredg.),dredging_delay_of_irrig_area2_halved,posnorm,1,,2
,Delay in irrigable area halved U/S (check d.),check_dam_delay_of_irrig_area2_halved,posnorm,3,,5
,,,,,,
,Years bef. decline in fish (basel.),time_to_start_fish_decline_baseline,posnorm,1,,3
,Delay in fish decline (dredg.),dredging_delay_start_fish_decline,posnorm,1,,2
,Delay in fish decline (check d.),check_dams_delay_start_fish_decline,posnorm,2,,4
,Delay in fish decline (buffer s.),buffer_strips_delay_start_fish_decline,posnorm,3,,6
,Years bef. fish pop. halved D/S (basel.),time_to_halve_fish_population_baseline,posnorm,14,,20
,Delay in fish pop. halved (dredg.),dredging_delay_in_time_to_halve_fish_population,posnorm,1,,2
,Delay in fish pop. halved (check d.),check_dams_delay_in_time_to_halve_fish_population,posnorm,2,,4
,Delay in fish pop. halved (buffer s.),buffer_strips_delay_in_time_to_halve_fish_population,posnorm,5,,8
