label,variable,distribution,lower,median,upper,,,,Definition of the variables,,,,,,,,,,
Plantation cost (buffer s.),buffer_adaptation_cost,posnorm,20000,,130000,,,,Cost of planting new plant and young trees in the buffer strips (in dollars) ,,,,,,,,,,
Cost tech devices (buffer s.),buffer_tech_devices_cost,posnorm,1000,,4800,,,,Cost of small technical devices for buffer strips (in dollars),,,,,,,,,,
Tree nursery cost (buffer s.),buffer_nursery_cost,posnorm,2000,,18000,,,,Cost of setting up a nursery for the buffer strips (in dollars),,,,,,,,,,
Digging wells cost (buffer s.),buffer_wells_cost,posnorm,20000,,80000,,,,Cost of digging wells in the the second buffer for the buffer strips (in dollars),,,,,,,,,,
Training cost (buffer s.),buffer_training_cost,posnorm,8000,,46000,,,,Cost of training the communities for buffer strips (in dollars),,,,,,,,,,
Equipment cost (buffer s.),buffer_mngmt_oprt_cost,const,0,,0,,,,Equipment and operating costs  for the buffer strips (in dollars),,,,,,,,,,
Monitoring cost (buffer s.),buffer_mngmt_follow_cost,const,0,,0,,,,Monitoring cost for the buffer strips (in dollars),,,,,,,,,,
Audit cost (buffer s.),buffer_mngmt_audit_cost,const,0,,0,,,,Audit cost for the buffer strips (in dollars),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Annual fish value (base),current_annual_fish_value_USD,posnorm,500,,2000,,,,Annual fish value in the current situation (in dollars),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Irrig. area lost if hazard (formal),Hazard_reduction_irrigated_area,posnorm,10,,30,,,,Irrigated area lost D/S the reservoir if a hazard occurs (in percent) ,,,,,,,550000,,,
Irrig. lost if bad maint. (formal),BadMaint_reduction_irrigated_area,posnorm,10,,30,,,,Irrigated area lost D/S the reservoir in case of bad maintenance (in percent) ,,,,,,,418.4141936,,,
Irrig. lost if bad design (formal),BadDesign_reduction_irrigated_area,posnorm,10,,30,,,,Irrigated area lost D/S the reservoir in case of bad design (in percent) ,,,,,,,2628.973914,,,
,,,,,,,,,,,,,,,,#REF!,,#REF!,rainfed crops buffer 3
Fish reduction if hazard,Hazard_reduction_fish_perc,posnorm,5,,15,,,,Decrease in fish production if a hazard occurs (in percent),,,,,,,,,#REF!,fruit trees buffer 3
,,,,,,,,,,,,,,,,,,#REF!,fruit trees buffer 3
Maint. cost (check d.),maintenance_check_dams,posnorm,160,,400,,,,Annual maintenance cost of check dams (in dollars),,,,,,,,,,
Maint. cost (buffer s.),maintenance_buffer_strips,posnorm,800,,7000,,,,Annual maintenance cost of buffer strips (in dollars),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Informal irrig. area (base),scheme2_area_no_dredging_ha,posnorm,0.5,,3,,,,Current irrigation informal area (in ha),,,,,,,,,,
Increase in informal irrig. area if dredg. ,dredging_bump_scheme2_area_perc,posnorm,10,,30,,,,Increase in the irrigation informal area in dredging is implemented (in percent),,,,,,,,,,
Delay in irrig. area decline (dredg.) (informal),scheme2_time_until_dredging_benefits_gone_baseline,posnorm,2,,4,,,,"If dredging is implemented, delay in time, with respect to the baseline, until irrigated informal area decreases (in years)",,,,,,,,,,
Delay in irrig. area decline (check d.) (informal),check_dams_added_scheme2_area_benefit_time,posnorm,2,,4,,,,"If check dams is implemented, delay in time, with respect to the baseline, until irrigated informal area decreases (in years)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Yield/ton ha-veg. (informal),scheme2_vegetable_yield_t_ha,posnorm,5,,10,,,,Vegetable yields informal area (in t/ha),,,,,,,,,,
Profit/ton veg. (informal),scheme2_vegetable_profit_USD_t,posnorm,50,,150,,,,Farmer's profit from vegetable production informal area (in dollars/t),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Yields per ha-rice (informal),scheme2_rice_yield_t_ha,posnorm,1.5,,2,,,,Rice yields informal area  (in t/ha),,,,,,,,,,
Profit per ton-rice (informal),scheme2_rice_profit_USD_t,norm,100,,500,,,,Farmer's profit from rice production informal area (in dollars/t),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Veg. area in ha (buffer s.),buffer_vegetable_area_ha,posnorm,5,,7,,,,Area for vegetable production in buffer strips (in ha),,,,,,,,,,
Fruit area in ha (buffer s.),buffer_fruit_area_ha,posnorm,1,,2,,,,Area for fruit production in buffer strips (in ha),,,,,,,,,,
Rainfed crop area in ha (buffer s.),buffer_rainfed_crop_area_ha,posnorm,6,,8,,,,Area for rainfed crop production in buffer strips (in ha),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Yields per ha-veg. (buffer s.),buffer_vegetable_yield_t_ha,posnorm,5,,10,,,,Vegetable yields in buffer strips (in t/ha),,,,,,,,,,
Yields per ha-fruit (buffer s.),buffer_fruit_yield_t_ha,posnorm,10,,30,,,,Fruit yields in buffer strips (in t/ha),,,,,,,,,,
Yields per ha-rainfed crops (buffer s.),buffer_rainfed_crop_yield_t_ha,posnorm,1,,3,,,,Rainfed crop yields in buffer strips (in t/ha),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit per ton-veg. (buffer s.),buffer_vegetable_profit_USD_t,posnorm,100,,200,,,,Farmer's profit from vegetable production in buffer strips (in dollars/t),,,,,,,,,,
Profit per ton-fruit (buffer s.),buffer_fruit_profit_USD_t,posnorm,100,,200,,,,Farmer's profit from fruit production in buffer strips (in dollars/t),,,,,,,,,,
Profit per ton-rainfed crops (buffer s.),buffer_rainfed_crop_profit_USD_t,posnorm,50,,200,,,,Farmer's profit from rainfed crops production in buffer strips (in dollars/t),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Rice share rainy season (formal),proportion_irrigation_scheme_rice,tnorm_0_1,0.3,,0.6,,,,Proportion of the formal irrigation area that is allocated to rice production during the rainy season (between 0 and 1),,,,,,,,,,
Yields per ha-rice (formal),irrigation_scheme_rice_yield_t_ha,posnorm,1.5,,2.5,,,,Rice formal irrigation area yields  (in t/ha),,,,,,,,,,
Profit per ton-rice (formal),irrigation_scheme_rice_profit_USD_t,posnorm,100,,500,,,,Farmer's profit from rice production - formal irrigation area (in dollars/t),,,,,,,,,,
Yields per ha-veg. (formal),irrigation_scheme_vegetable_yield_t_ha,posnorm,8,,15,,,,Vegetable formal irrigation area yields  (in t/ha),,,,,,,,,,
Profit per ton-veg. (formal),irrigation_scheme_vegetable_profit_USD_t,posnorm,100,,300,,,,Farmer's profit from vegetable production - formal irrigation area (in dollars/t),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Years bef. decline irrig. area (base) (formal),baseline_time_until_irrig_area_declines,posnorm,1,,4,,,,"In the baseline case, time until irrigable formal irrigation area decreases - because of reduced water storage capacity (in years)",,,,,,,,,,
Delay in irrig. area decline (dredg.) (formal),dredging_delay_of_irrig_area_decline,posnorm,2,,5,,,,"If dredging is implemented, delay in time, with respect to the baseline, until irrigable formal irrigation area decreases (in years)",,,,,,,,,,
Delay in irrig. area decline (check d.) (formal),check_dam_delay_of_irrig_area_decline,posnorm,4,,7,,,,"If check dams is implemented, delay in time, with respect to the baseline, until irrigable formal irrigation area decreases (in years)",,,,,,,,,,
Delay in irrig. area decline (buffer s.) (formal),buffer_strip_delay_of_irrig_area_decline,posnorm,4,,15,,,,"If buffer strips is implemented, delay in time, with respect to the baseline, until irrigable formal irrigation area decreases (in years)",,,,,,,,,,
Years bef. irrig. area halved (base) (formal),baseline_start_losses_to_half_irrig_area_lost,posnorm,8,,15,,,,"In the baseline case, time before the irrigable formal irrigation area is halved (in years)",,,,,,,,,,
Delay in irrig. area halved (dredg.) (formal),dredging_delay_of_irrig_area_halved,posnorm,1,,2,,,,"If dredging is implemented, delay in time, with respect to the baseline, until irrigable formal irrigation area is halved (in years)",,,,,,,,,,
Delay in irrig. area halved (check d.) (formal),check_dam_delay_of_irrig_area_halved,posnorm,3,,5,,,,"If check dams is implemented, delay in time, with respect to the baseline, until irrigable formal irrigation area is halved (in years)",,,,,,,,,,
Delay in irrig. area halved (buffer s.) (formal),buffer_strip_delay_of_irrig_area_halved,posnorm,8,,20,,,,"If buffer strips is implemented, delay in time, with respect to the baseline, until irrigable formal irrigation area is halved (in years)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Risk of pipe blockage (at present),current_risk_of_pipe_blockage,tnorm_0_1,0.2,,0.4,,,,Current probability that the pipe is blocked (between 0 and 1),,,,,,,,,,
Years bef. blockage every 2nd year (base),baseline_time_until_pipes_blocked_every_second_year,posnorm,3,,5,,,,"In the baseline case, time until the pipes blocked every second year, because pipes are clogged by sediments (in years)",,,,,,,,,,
Delay in blockage every 2nd year (dredg.),dredging_delay_of_pipes_blocked_every_second_year,posnorm,1,,3,,,,"If dredging is implemented, delay in time, with respect to the baseline, until pipes are blocked every second year (in years)",,,,,,,,,,
Delay in blockage every 2nd year (check d.),check_dam_delay_of_pipes_blocked_every_second_year,posnorm,2,,4,,,,"If check dams is implemented, delay in time, with respect to the baseline, until pipes are blocked every second year (in years)",,,,,,,,,,
Delay in blockage every 2nd year (buffer s.),buffer_strip_delay_of_pipes_blocked_every_second_year,posnorm,4,,7,,,,"If buffer strips is implemented, delay in time, with respect to the baseline, until pipes are blocked every second year (in years)",,,,,,,,,,
Chance of blocked pipe cleared (at present),current_chance_of_blocked_pipe_cleared,tnorm_0_1,0.7,,0.9,,,,Current probability that a blocked pipe is cleared (between 0 and 1),,,,,,,,,,
Years bef. P(blockage cleared)=0.5 (base),baseline_time_until_chance_cleared_50percent,posnorm,7,,10,,,,"In the baseline case, time until the probability that a pipe blocked is cleared is 50 percent (in years)",,,,,,,,,,
Delay bef. P(blockage cleared)=0.5 (dredg.),dredging_delay_of_time_until_chance_cleared_50percent,posnorm,1,,2,,,,"If dredging is implemented, delay in time, with respect to the baseline, until the probability that a pipe blocked is cleared is 50 percent (in years)",,,,,,,,,,
Delay bef. P(blockage cleared)=0.5 (check d.),check_dam_delay_of_time_until_chance_cleared_50percent,posnorm,2,,4,,,,"If check dams is implemented, delay in time, with respect to the baseline, until the probability that a pipe blocked is cleared is 50 percent (in years)",,,,,,,,,,
Delay bef. P(blockage cleared)=0.5 (buffer s.),buffer_strip_delay_of_time_until_chance_cleared_50percent,posnorm,4,,6,,,,"If buffer strips is implemented, delay in time, with respect to the baseline, until the probability that a pipe blocked is cleared is 50 percent (in years)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Years bef. decline irrig. area (base) (informal),baseline_time_until_irrig_area2_declines,posnorm,3,,6,,,,"In the baseline case, time until irrigable informal area decreases - because of reduced water storage capacity (in years)",,,,,,,,,,
Delay in irrig. area decline (dredg.) (informal),dredging_delay_of_irrig_area2_decline,posnorm,3,,5,,,,"If dredging is implemented, delay in time, with respect to the baseline, until irrigable informal area decreases (in years)",,,,,,,,,,
Delay in irrig. area decline (check d.) (informal),check_dam_delay_of_irrig_area2_decline,posnorm,2,,6,,,,"If check dams is implemented, delay in time, with respect to the baseline, until irrigable informal area decreases (in years)",,,,,,,,,,
Years bef. irrig. area halved (base) (informal),baseline_start_losses_to_half_irrig_area2_lost,posnorm,10,,17,,,,"In the baseline case, time before the irrigable informal area is halved (in years)",,,,,,,,,,
Delay in irrig. area halved (dredg.) (informal),dredging_delay_of_irrig_area2_halved,posnorm,1,,2,,,,"If dredging is implemented, delay in time, with respect to the baseline, until irrigable informal area is halved (in years)",,,,,,,,,,
Delay in irrig. area halved (check d.) (informal),check_dam_delay_of_irrig_area2_halved,posnorm,3,,5,,,,"If check dams is implemented, delay in time, with respect to the baseline, until irrigable informal area is halved (in years)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Years bef. decline in fish (base),time_to_start_fish_decline_baseline,posnorm,1,,3,,,,"In the baseline case, time until fish pop. decreases - because of reservoir sedimentation (in years)",,,,,,,,,,
Delay in fish decline (dredg.),dredging_delay_start_fish_decline,posnorm,1,,2,,,,"If dredging is implemented, delay in time, with respect to the baseline, until fish pop. decreases (in years)",,,,,,,,,,
