"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_dredge_check_nbuff2"," -43925","  -9743","-6.1e+03","   -265","   2184","  5389"," 11529"," 15563","  47612","   2499","0.2874","0","0.7126"
"y.cashflow_NPV_dredge_check_nbuff3"," -34876","  -8460","-5.1e+03","    230","   2977","  6379"," 12402"," 16438","  42857","   3409","0.2375","0","0.7625"
"y.cashflow_NPV_dredge_check_nbuff4"," -30871","  -7234","-4.2e+03","    927","   3611","  7462"," 13443"," 17340","  49397","   4256","0.2064","0","0.7936"
"y.cashflow_NPV_dredge_check_nbuff5"," -25291","  -6106","-3.1e+03","   1247","   4047","  8240"," 14016"," 18041","  54643","   4939","0.1822","0","0.8178"
"y.cashflow_NPV_dredge_check_nbuff6"," -42127","  -5327","-2.4e+03","   1527","   4345","  8632"," 14960"," 19058","  54954","   5379","0.1642","0","0.8358"
"y.cashflow_NPV_dredge_check_nbuff7"," -40742","  -3881","-1.0e+03","   1995","   4954","  9429"," 15121"," 18995","  57373","   6090","0.1330","0","0.8670"
"y.cashflow_NPV_dredge_check_nbuff8"," -27704","  -2584","-2.2e+02","   2377","   5403","  9850"," 15764"," 19958","  68846","   6622","0.1079","0","0.8921"
"y.cashflow_NPV_dredge_check_nbuff9"," -24921","  -1524"," 2.7e+02","   2650","   5645"," 10354"," 16212"," 20558","  55377","   7085","0.0882","0","0.9118"
"y.cashflow_NPV_dredge_check_nbuff10"," -17094","   -960"," 6.7e+02","   2862","   6013"," 10422"," 16286"," 20745","  58459","   7358","0.0745","0","0.9255"
"y.cashflow_NPV_dredge_check_nbuff11"," -27279","   -253"," 1.1e+03","   3178","   6059"," 10476"," 16329"," 20257","  57352","   7530","0.0580","0","0.9420"
"y.cashflow_NPV_dredge_check_nbuff12"," -27019","     63"," 1.4e+03","   3375","   6195"," 10473"," 16169"," 20271","  53418","   7632","0.0477","0","0.9523"
"y.cashflow_NPV_dredge_check_nbuff13"," -15430","    502"," 1.7e+03","   3545","   6315"," 10450"," 15700"," 19677","  57425","   7718","0.0351","0","0.9649"
"y.cashflow_NPV_dredge_check_nbuff14"," -16867","    681"," 1.9e+03","   3814","   6477"," 10567"," 15799"," 19783","  68439","   7863","0.0306","0","0.9694"
"y.cashflow_NPV_dredge_check_nbuff15"," -10091","    768"," 2.0e+03","   3946","   6639"," 10619"," 15545"," 19371","  48900","   7925","0.0270","0","0.9730"
"y.cashflow_NPV_dredge_check_nbuff16","  -8870","   1029"," 2.2e+03","   4036","   6750"," 10580"," 15750"," 19068","  49195","   8007","0.0245","0","0.9755"
"y.cashflow_NPV_dredge_check_nbuff17"," -13779","   1082"," 2.3e+03","   4186","   6935"," 10811"," 15543"," 19015","  60772","   8113","0.0218","0","0.9782"
"y.cashflow_NPV_dredge_check_nbuff18"," -19711","   1167"," 2.4e+03","   4221","   6920"," 10617"," 15119"," 18589","  52762","   8030","0.0226","0","0.9774"
"y.cashflow_NPV_dredge_check_nbuff19","  -3376","   1288"," 2.4e+03","   4199","   6993"," 10898"," 15144"," 18463","  72865","   8086","0.0211","0","0.9789"
"y.cashflow_NPV_dredge_check_nbuff20","  -2668","   1227"," 2.4e+03","   4179","   6967"," 10606"," 14845"," 17950","  51440","   7961","0.0188","0","0.9812"
"y.cashflow_NPV_dredge_check_nbuff21","  -4951","   1244"," 2.4e+03","   4157","   6888"," 10360"," 14446"," 17385","  52692","   7807","0.0188","0","0.9812"
"y.cashflow_NPV_dredge_check_nbuff22","  -7676","   1263"," 2.3e+03","   4039","   6790"," 10171"," 14012"," 16941","  44911","   7620","0.0209","0","0.9791"
"y.cashflow_NPV_dredge_check_nbuff23","  -2105","   1193"," 2.2e+03","   3925","   6639"," 10007"," 13855"," 16501","  52729","   7469","0.0193","0","0.9807"
