"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_ndredge_check_nbuff5"," -32461","  -7630","-4.3e+03","     25","   3110","  7075"," 12717"," 16666","  64464","   3761","0.2478","0","0.7522"
"y.cashflow_NPV_ndredge_check_nbuff6"," -39244","  -6399","-3.3e+03","    187","   3395","  7293"," 13149"," 17320","  48305","   4143","0.2279","0","0.7721"
"y.cashflow_NPV_ndredge_check_nbuff7"," -28099","  -5324","-2.4e+03","    375","   3439","  7467"," 13072"," 16908","  53342","   4371","0.2109","0","0.7891"
"y.cashflow_NPV_ndredge_check_nbuff8"," -27051","  -4621","-1.8e+03","    554","   3391","  7160"," 12308"," 16271","  51381","   4319","0.1929","0","0.8071"
"y.cashflow_NPV_ndredge_check_nbuff9"," -21044","  -3454","-1.2e+03","    726","   3481","  7149"," 12327"," 16053","  44613","   4519","0.1776","0","0.8224"
"y.cashflow_NPV_ndredge_check_nbuff10"," -27679","  -2660","-8.6e+02","    796","   3699","  7275"," 12375"," 15743","  47545","   4679","0.1721","0","0.8279"
"y.cashflow_NPV_ndredge_check_nbuff11"," -21834","  -1723","-4.7e+02","   1119","   3994","  7419"," 12070"," 15784","  51922","   4916","0.1472","0","0.8528"
"y.cashflow_NPV_ndredge_check_nbuff12"," -19028","  -1236","-2.7e+02","   1377","   4230","  7570"," 12094"," 15500","  46011","   5117","0.1337","0","0.8663"
"y.cashflow_NPV_ndredge_check_nbuff13"," -18458","   -851","-1.9e+02","   1538","   4339","  7684"," 11879"," 15333","  45502","   5220","0.1272","0","0.8728"
"y.cashflow_NPV_ndredge_check_nbuff14"," -21601","   -650","-1.3e+02","   1643","   4567","  7828"," 11880"," 15034","  60344","   5343","0.1203","0","0.8797"
"y.cashflow_NPV_ndredge_check_nbuff15"," -13196","   -633","-8.2e+01","   1856","   4730","  7724"," 11410"," 14439","  40214","   5305","0.1141","0","0.8859"
"y.cashflow_NPV_ndredge_check_nbuff16"," -12489","   -473","-5.4e+01","   1936","   4801","  7742"," 11369"," 14185","  40188","   5373","0.1100","0","0.8900"
"y.cashflow_NPV_ndredge_check_nbuff17","  -9200","   -450","-5.3e+01","   2058","   4916","  7791"," 11292"," 13871","  40520","   5393","0.1114","0","0.8886"
"y.cashflow_NPV_ndredge_check_nbuff18"," -25832","   -392","-3.7e+01","   2051","   4877","  7634"," 10809"," 13210","  38956","   5268","0.1078","0","0.8922"
"y.cashflow_NPV_ndredge_check_nbuff19","  -9178","   -322","-1.5e+01","   2097","   4913","  7668"," 10673"," 13010","  44886","   5271","0.1047","0","0.8953"
"y.cashflow_NPV_ndredge_check_nbuff20","  -5324","   -331","-3.5e+01","   2169","   4908","  7508"," 10456"," 12437","  48996","   5170","0.1095","0","0.8905"
"y.cashflow_NPV_ndredge_check_nbuff21","  -6122","   -264","-3.9e+00","   2186","   4836","  7346"," 10109"," 12006","  31007","   5042","0.1009","0","0.8991"
"y.cashflow_NPV_ndredge_check_nbuff22","  -5990","   -282","-1.7e+01","   2114","   4739","  7168","  9730"," 11639","  35202","   4911","0.1048","0","0.8952"
"y.cashflow_NPV_ndredge_check_nbuff23","  -6206","   -263","-3.0e+01","   2047","   4620","  6959","  9588"," 11354","  37630","   4797","0.1083","0","0.8917"
"y.cashflow_NPV_ndredge_check_nbuff24","  -4061","   -234","-2.9e+01","   2065","   4508","  6699","  9273"," 11135","  29480","   4640","0.1092","0","0.8908"
"y.cashflow_NPV_ndredge_check_nbuff25","  -6219","   -202","-2.4e+01","   1962","   4314","  6496","  8881"," 10534","  25274","   4468","0.1071","0","0.8929"
"y.cashflow_NPV_ndredge_check_nbuff26","  -9467","   -175","-1.6e+00","   1905","   4127","  6234","  8578"," 10117","  27535","   4290","0.1005","0","0.8995"
"y.cashflow_NPV_ndredge_check_nbuff27","  -2487","   -202","-2.1e+01","   1820","   3973","  5980","  8149","  9764","  27252","   4111","0.1090","0","0.8910"
"y.cashflow_NPV_ndredge_check_nbuff28","  -3333","   -163","-9.9e+00","   1727","   3800","  5785","  7825","  9366","  19407","   3947","0.1045","0","0.8955"
"y.cashflow_NPV_ndredge_check_nbuff29","  -2936","   -169","-1.5e+01","   1625","   3651","  5467","  7507","  8827","  21257","   3761","0.1056","0","0.8944"
"y.cashflow_NPV_ndredge_check_nbuff30","  -3807","   -174","-2.0e+01","   1561","   3471","  5242","  7123","  8451","  18704","   3583","0.1076","0","0.8924"
"y.cashflow_NPV_ndredge_ncheck_buff1","-339489","-244986","-2.3e+05","-195348","-155823","-33454","-14839","  -356","  34805","-130522","0.9633","0","0.0367"
"y.cashflow_NPV_ndredge_ncheck_buff2"," -49856","  -8143","-4.2e+03","     49","   6140"," 12060"," 18180"," 22433","  63795","   6477","0.2375","0","0.7625"
"y.cashflow_NPV_ndredge_ncheck_buff3"," -43238","  -7535","-3.5e+03","    158","   7108"," 13059"," 18723"," 22892","  55826","   7154","0.2191","0","0.7809"
"y.cashflow_NPV_ndredge_ncheck_buff4"," -49955","  -6752","-2.8e+03","    315","   7821"," 13971"," 20050"," 24269","  53729","   7903","0.2101","0","0.7899"
"y.cashflow_NPV_ndredge_ncheck_buff5"," -39142","  -6034","-2.3e+03","    424","   8244"," 14643"," 20862"," 25072","  68815","   8460","0.2032","0","0.7968"
"y.cashflow_NPV_ndredge_ncheck_buff6"," -33303","  -5099","-1.7e+03","    636","   8784"," 15312"," 21728"," 26255","  72633","   9056","0.1919","0","0.8081"
"y.cashflow_NPV_ndredge_ncheck_buff7"," -37696","  -4360","-1.3e+03","    718","   9490"," 16049"," 22555"," 26890","  62171","   9608","0.1873","0","0.8127"
"y.cashflow_NPV_ndredge_ncheck_buff8"," -25866","  -3237","-8.2e+02","    733","   9755"," 16594"," 23132"," 27546","  67529","  10055","0.1744","0","0.8256"
"y.cashflow_NPV_ndredge_ncheck_buff9"," -17878","  -2379","-6.3e+02","    809","  10194"," 17247"," 23963"," 28772","  62540","  10550","0.1685","0","0.8315"
"y.cashflow_NPV_ndredge_ncheck_buff10"," -23355","  -2060","-5.7e+02","    720","  10702"," 17450"," 24087"," 28482","  68640","  10719","0.1681","0","0.8319"
"y.cashflow_NPV_ndredge_ncheck_buff11"," -19672","  -1536","-4.8e+02","    661","  11263"," 18016"," 24750"," 29735","  60640","  11229","0.1672","0","0.8328"
"y.cashflow_NPV_ndredge_ncheck_buff12"," -26340","  -1259","-4.1e+02","    591","  11674"," 18475"," 25204"," 29790","  73230","  11491","0.1652","0","0.8348"
"y.cashflow_NPV_ndredge_ncheck_buff13"," -15729","   -988","-3.5e+02","    557","  11802"," 18609"," 25221"," 29723","  73299","  11634","0.1608","0","0.8392"
"y.cashflow_NPV_ndredge_ncheck_buff14"," -14300","   -931","-3.6e+02","    507","  12366"," 18994"," 25485"," 29884","  73942","  11889","0.1645","0","0.8355"
"y.cashflow_NPV_ndredge_ncheck_buff15"," -14738","   -820","-3.1e+02","    477","  12562"," 19287"," 25924"," 30103","  70019","  12083","0.1651","0","0.8349"
"y.cashflow_NPV_ndredge_ncheck_buff16"," -11427","   -707","-2.7e+02","    423","  12819"," 19468"," 25876"," 30066","  63586","  12211","0.1653","0","0.8347"
"y.cashflow_NPV_ndredge_ncheck_buff17"," -20551","   -596","-2.3e+02","    381","  13214"," 19820"," 26000"," 30253","  83145","  12385","0.1620","0","0.8380"
"y.cashflow_NPV_ndredge_ncheck_buff18","  -8354","   -519","-2.1e+02","    363","  13401"," 19852"," 26104"," 30565","  65600","  12497","0.1613","0","0.8387"
"y.cashflow_NPV_ndredge_ncheck_buff19","  -8141","   -508","-2.1e+02","    339","  13720"," 20152"," 26177"," 30576","  78699","  12645","0.1586","0","0.8414"
"y.cashflow_NPV_ndredge_ncheck_buff20","  -6203","   -489","-2.0e+02","    299","  13775"," 20338"," 26380"," 30384","  73979","  12709","0.1656","0","0.8344"
"y.cashflow_NPV_ndredge_ncheck_buff21","  -6566","   -457","-1.6e+02","    280","  14016"," 20336"," 26133"," 30070","  72159","  12768","0.1626","0","0.8374"
"y.cashflow_NPV_ndredge_ncheck_buff22","  -5649","   -414","-1.7e+02","    252","  14109"," 20667"," 26410"," 30305","  69423","  12879","0.1641","0","0.8359"
"y.cashflow_NPV_ndredge_ncheck_buff23","  -5158","   -389","-1.6e+02","    231","  14051"," 20588"," 26558"," 30458","  70839","  12876","0.1663","0","0.8337"
"y.cashflow_NPV_ndredge_ncheck_buff24","  -4939","   -353","-1.4e+02","    226","  14185"," 20559"," 26238"," 30038","  60755","  12885","0.1659","0","0.8341"
"y.cashflow_NPV_ndredge_ncheck_buff25","  -5011","   -350","-1.4e+02","    197","  14130"," 20482"," 26275"," 30029","  68572","  12848","0.1645","0","0.8355"
"y.cashflow_NPV_ndredge_ncheck_buff26","  -5213","   -312","-1.3e+02","    210","  14311"," 20608"," 26143"," 29699","  67767","  12887","0.1579","0","0.8421"
"y.cashflow_NPV_ndredge_ncheck_buff27","  -4363","   -314","-1.2e+02","    192","  14247"," 20462"," 26059"," 29580","  61318","  12820","0.1645","0","0.8355"
"y.cashflow_NPV_ndredge_ncheck_buff28","  -3394","   -267","-1.1e+02","    188","  14196"," 20466"," 26130"," 29460","  60202","  12771","0.1587","0","0.8413"
"y.cashflow_NPV_ndredge_ncheck_buff29","  -2495","   -251","-1.1e+02","    170","  14180"," 20235"," 25773"," 29487","  73613","  12681","0.1603","0","0.8397"
"y.cashflow_NPV_ndredge_ncheck_buff30","  -2206","   -264","-1.1e+02","    163","  14150"," 20182"," 25636"," 28976","  54218","  12602","0.1694","0","0.8306"
